Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
------------------------------------------------------------
[1/3763] verismo/tspec_e__array__array_e.6.smt2 -> UNKNOWN [2.10s]
[2/3763] verismo/tspec_e__array__array_e.7.smt2 -> UNSAT [2.29s]
[3/3763] verismo/tspec_e__array__sort.4.smt2 -> UNKNOWN [2.99s]
[4/3763] verismo/arch__rmp__def_s.1.smt2 -> UNSAT [3.08s]
[5/3763] verismo/tspec__seqlib__subseq.5.smt2 -> UNKNOWN [3.47s]
[6/3763] verismo/tspec__math__cond_bound.1.smt2 -> UNKNOWN [2.08s]
[7/3763] verismo/tspec__range_set.5.smt2 -> UNKNOWN [4.28s]
[8/3763] verismo/tspec_e__array__sort.8.smt2 -> UNKNOWN [2.13s]
[9/3763] verismo/tspec__seqlib__subseq.4.smt2 -> UNKNOWN [1.96s]
[10/3763] verismo/snp__percpu__def_s.2.smt2 -> UNSAT [2.14s]
[11/3763] verismo/trusted_hacl__hash_s.smt2 -> UNKNOWN [2.04s]
[12/3763] verismo/arch__entities.2.smt2 -> UNKNOWN [1.69s]
[13/3763] verismo/tspec__range_set.2.smt2 -> UNKNOWN [2.06s]
[14/3763] verismo/tspec_e__array__sort.3.smt2 -> UNKNOWN [2.15s]
[15/3763] verismo/arch__rmp__def_s.6.smt2 -> UNSAT [2.04s]
[16/3763] verismo/tspec_e__math__minmax.1.smt2 -> UNKNOWN [1.90s]
[17/3763] verismo/arch__reg.2.smt2 -> UNSAT [1.64s]
[18/3763] verismo/tspec__math__bits_p.1.smt2 -> UNSAT [3.18s]
[19/3763] verismo/tspec_e__array__array_e.10.smt2 -> UNSAT [1.73s]
[20/3763] verismo/tspec__seqlib__subseq.3.smt2 -> UNKNOWN [2.18s]
[21/3763] verismo/arch__addr_s__def_s.2.smt2 -> UNSAT [3.67s]
[22/3763] verismo/tspec__seqlib__seq_multiset.1.smt2 -> UNSAT [2.25s]
[23/3763] verismo/tspec__setlib.1.smt2 -> UNSAT [1.99s]
[24/3763] verismo/tspec_e__array__sort.2.smt2 -> UNKNOWN [2.23s]
[25/3763] verismo/tspec__map_lib.2.smt2 -> UNKNOWN [2.56s]
[26/3763] verismo/tspec__range_set.3.smt2 -> UNSAT [1.58s]
[27/3763] verismo/tspec_e__array__array_e.1.smt2 -> UNSAT [1.25s]
[28/3763] verismo/arch__rmp__def_s.4.smt2 -> UNSAT [1.21s]
[29/3763] verismo/tspec_e__array__array_e.2.smt2 -> UNSAT [1.17s]
[30/3763] verismo/tspec__map_lib.1.smt2 -> UNKNOWN [1.55s]
[31/3763] verismo/tspec_e__array__sort.1.smt2 -> UNKNOWN [2.56s]
[32/3763] verismo/tspec__seqlib__subseq.1.smt2 -> UNKNOWN [1.97s]
[33/3763] verismo/tspec_e__array__array_utils.1.smt2 -> UNSAT [6.56s]
[34/3763] verismo/tspec_e__array__array_utils.2.smt2 -> UNKNOWN [3.00s]
[35/3763] verismo/tspec__setlib.3.smt2 -> UNSAT [1.72s]
[36/3763] verismo/tspec_e__array__array_utils.3.smt2 -> UNKNOWN [2.87s]
[37/3763] verismo/arch__reg.1.smt2 -> UNSAT [2.07s]
[38/3763] verismo/tspec_e__math__minmax.2.smt2 -> UNSAT [1.86s]
[39/3763] verismo/tspec__setlib.2.smt2 -> UNKNOWN [6.15s]
[40/3763] verismo/tspec_e__array.smt2 -> UNSAT [2.33s]
[41/3763] verismo/arch__entities.1.smt2 -> UNSAT [2.40s]
[42/3763] verismo/tspec__range_set.4.smt2 -> UNKNOWN [21.45s]
[43/3763] verismo/tspec_e__array__array_e.3.smt2 -> UNSAT [1.75s]
[44/3763] verismo/arch__rmp__def_s.5.smt2 -> UNSAT [1.74s]
[45/3763] verismo/tspec__range_set.1.smt2 -> UNKNOWN [2.76s]
[46/3763] verismo/tspec__math__cond_bound.2.smt2 -> UNKNOWN [1.91s]
[47/3763] verismo/tspec__seqlib__seq_multiset.3.smt2 -> UNKNOWN [6.53s]
[48/3763] verismo/tspec__seqlib__seq_multiset.4.smt2 -> UNKNOWN [2.12s]
[49/3763] verismo/snp__percpu__def_s.1.smt2 -> UNSAT [1.95s]
[50/3763] verismo/tspec_e__array__array_utils.4.smt2 -> UNKNOWN [1.98s]
[51/3763] verismo/arch__addr_s__def_s.1.smt2 -> UNSAT [4.48s]
[52/3763] verismo/tspec_e__array__array_e.8.smt2 -> UNSAT [1.81s]
[53/3763] verismo/tspec__setlib.4.smt2 -> UNKNOWN [2.43s]
[54/3763] verismo/arch__rmp__def_s.2.smt2 -> UNSAT [1.88s]
[55/3763] verismo/tspec_e__array__array_e.4.smt2 -> UNSAT [1.81s]
[56/3763] verismo/tspec_e__array__array_e.5.smt2 -> UNSAT [1.90s]
[57/3763] verismo/arch__rmp__def_s.3.smt2 -> UNSAT [1.76s]
[58/3763] verismo/tspec_e__array__array_e.9.smt2 -> UNSAT [2.23s]
[59/3763] verismo/tspec_e__array__array_utils.5.smt2 -> UNKNOWN [2.22s]
[60/3763] splinterdb/abstract_system__MsgHistory_v.4.smt2 -> UNSAT [2.05s]
[61/3763] splinterdb/journal__LinkedJournal_v__LinkedJournal.13.smt2 -> UNKNOWN [4.11s]
[62/3763] splinterdb/journal__LinkedJournal_v__LinkedJournal.7.smt2 -> UNSAT [3.22s]
[63/3763] splinterdb/exec__Cache_v__Cache.1.smt2 -> UNSAT [3.02s]
[64/3763] splinterdb/betree__LinkedBranch_v.49.smt2 -> UNSAT [2.01s]
[65/3763] splinterdb/allocation_layer__LikesJournal_v.4.smt2 -> UNSAT [1.82s]
[66/3763] splinterdb/betree__LinkedSeq_v.3.smt2 -> UNSAT [1.72s]
[67/3763] verismo/tspec__setlib.5.smt2 -> UNKNOWN [24.76s]
[68/3763] splinterdb/betree__Memtable_v.1.smt2 -> UNSAT [1.77s]
[69/3763] splinterdb/marshalling__IntegerMarshalling_v.23.smt2 -> UNSAT [1.53s]
[70/3763] splinterdb/abstract_system__StampedMap_v.2.smt2 -> UNSAT [1.47s]
[71/3763] splinterdb/betree__PivotBranchRefinement_v.17.smt2 -> UNKNOWN [2.58s]
[72/3763] splinterdb/betree__PagedBetree_v.32.smt2 -> UNKNOWN [1.98s]
[73/3763] splinterdb/betree__BufferOffsets_v.6.smt2 -> UNSAT [1.96s]
[74/3763] verismo/tspec_e__array__sort.5.smt2 -> TIMEOUT [60.13s]
[75/3763] splinterdb/betree__LinkedBetree_v.53.smt2 -> UNKNOWN [4.68s]
[76/3763] verismo/tspec__seqlib__subseq.2.smt2 -> TIMEOUT [60.14s]
[77/3763] splinterdb/betree__PivotBetree_v.8.smt2 -> UNSAT [1.70s]
[78/3763] splinterdb/betree__PagedBetree_v.7.smt2 -> UNSAT [2.26s]
[79/3763] verismo/tspec__seqlib__seq_multiset.2.smt2 -> TIMEOUT [60.15s]
[80/3763] splinterdb/allocation_layer__AllocationJournal_v.5.smt2 -> UNSAT [1.91s]
[81/3763] splinterdb/betree__LinkedBetree_v.45.smt2 -> UNSAT [3.16s]
[82/3763] splinterdb/journal__PagedJournal_v.6.smt2 -> UNSAT [1.79s]
[83/3763] splinterdb/journal__LinkedJournal_v.16.smt2 -> UNSAT [2.13s]
[84/3763] splinterdb/abstract_system__AbstractJournal_v__AbstractJournal.2.smt2 -> UNSAT [2.79s]
[85/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.4.smt2 -> UNSAT [11.79s]
[86/3763] verismo/tspec_e__array__sort.7.smt2 -> TIMEOUT [60.12s]
[87/3763] verismo/tspec__range_set.6.smt2 -> TIMEOUT [60.11s]
[88/3763] splinterdb/disk__GenericDisk_v.1.smt2 -> UNSAT [2.37s]
[89/3763] verismo/tspec_e__array__sort.6.smt2 -> TIMEOUT [60.11s]
[90/3763] splinterdb/betree__PivotTable_v.2.smt2 -> UNKNOWN [1.64s]
[91/3763] splinterdb/betree__LinkedBetree_v.12.smt2 -> UNSAT [2.17s]
[92/3763] splinterdb/betree__PivotBetree_v.19.smt2 -> UNSAT [1.76s]
[93/3763] splinterdb/marshalling__IntegerMarshalling_v.35.smt2 -> UNKNOWN [2.02s]
[94/3763] splinterdb/journal__LinkedJournal_v.41.smt2 -> UNSAT [2.29s]
[95/3763] splinterdb/betree__FilteredBetreeRefinement_v.12.smt2 -> UNSAT [4.96s]
[96/3763] splinterdb/betree__BufferSeq_v.8.smt2 -> UNSAT [2.17s]
[97/3763] splinterdb/betree__PagedBetree_v.24.smt2 -> UNKNOWN [2.08s]
[98/3763] splinterdb/betree__LinkedBetree_v.69.smt2 -> UNSAT [3.34s]
[99/3763] splinterdb/betree__LinkedBranch_v.24.smt2 -> UNKNOWN [2.36s]
