Parsed 3763 previous results from '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/results/results_1218_skolemization_60sectimeout.txt'
Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Filtering based on previous results from: results/results_1218_skolemization_60sectimeout.txt
Found 3763 total files, filtering to 128 files to process
Skipping 3635 files that already have UNSAT/UNKNOWN/TIMEOUT/ERROR results
Processing 128 files in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
------------------------------------------------------------
[1/128] anvil/splinterdb-smt-journal__LinkedJournal_v.38.smt2 -> UNSAT [2.77s]
[2/128] anvil/splinterdb-smt-betree__PivotBetree_v.43.smt2 -> UNSAT [2.82s]
[3/128] anvil/splinterdb-smt-betree__LinkedBetree_v.44.smt2 -> UNKNOWN [4.58s]
[4/128] anvil/splinterdb-smt-betree__PagedBetree_v.10.smt2 -> UNKNOWN [4.73s]
[5/128] anvil/splinterdb-smt-betree__LinkedBetree_v.51.smt2 -> UNKNOWN [8.65s]
[6/128] anvil/fluent-smt-fluent_controller__fluentbit__proof__liveness__spec.8.smt2 -> UNSAT [13.83s]
[7/128] anvil/fluent-smt-fluent_controller__fluentbit_config__proof__liveness__spec.2.smt2 -> UNSAT [13.67s]
[8/128] anvil/splinterdb-smt-betree__LinkedBetree_v.13.smt2 -> UNSAT [2.41s]
[9/128] anvil/splinterdb-smt-betree__LinkedBranch_v__Refinement_v.31.smt2 -> TIMEOUT [60.05s]
[10/128] splinterdb/betree__LinkedBranch_v__Refinement_v.28.smt2 -> TIMEOUT [60.08s]
[11/128] anvil/splinterdb-smt-journal__PagedJournalRefinement_v.23.smt2 -> TIMEOUT [60.07s]
[12/128] anvil/splinterdb-smt-allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.9.smt2 -> TIMEOUT [60.06s]
[13/128] anvil/splinterdb-smt-betree__LinkedBranch_v__Refinement_v.24.smt2 -> TIMEOUT [60.05s]
[14/128] anvil/splinterdb-smt-betree__BufferSeq_v.6.smt2 -> UNSAT [3.51s]
[15/128] anvil/splinterdb-smt-marshalling__Slice_v.4.smt2 -> UNSAT [3.78s]
[16/128] anvil/splinterdb-smt-betree__FilteredBetree_v.25.smt2 -> UNSAT [2.35s]
[17/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__exec__resource__config_map.8.smt2 -> TIMEOUT [60.07s]
