Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus
Processing 3763 files in '/local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus'
Using 100 parallel processes
------------------------------------------------------------
[1/3763] atmosphere/trap.4.smt2 -> UNSAT [2.83s]
[2/3763] atmosphere/array_set.6.smt2 -> UNKNOWN [3.44s]
[3/3763] atmosphere/pagetable__entry.7.smt2 -> UNSAT [3.64s]
[4/3763] atmosphere/trap.6.smt2 -> UNSAT [3.65s]
[5/3763] atmosphere/array_vec.1.smt2 -> UNSAT [3.81s]
[6/3763] atmosphere/pagetable__entry.1.smt2 -> UNSAT [3.88s]
[7/3763] atmosphere/define.3.smt2 -> UNSAT [3.91s]
[8/3763] atmosphere/array_set.5.smt2 -> UNSAT [3.94s]
[9/3763] atmosphere/trap.9.smt2 -> UNSAT [4.03s]
[10/3763] atmosphere/process_manager__container_tree_spec_impl.8.smt2 -> UNSAT [4.04s]
[11/3763] atmosphere/array_vec.8.smt2 -> UNKNOWN [4.07s]
[12/3763] atmosphere/array_vec.3.smt2 -> UNSAT [4.07s]
[13/3763] atmosphere/pagetable__entry.4.smt2 -> UNSAT [4.09s]
[14/3763] atmosphere/define.5.smt2 -> UNSAT [4.16s]
[15/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.3.smt2 -> UNSAT [4.16s]
[16/3763] atmosphere/trap.8.smt2 -> UNSAT [4.18s]
[17/3763] atmosphere/pagetable__pagemap.4.smt2 -> UNKNOWN [4.20s]
[18/3763] atmosphere/array_vec.5.smt2 -> UNKNOWN [4.25s]
[19/3763] atmosphere/process_manager__thread.2.smt2 -> UNSAT [4.49s]
[20/3763] atmosphere/process_manager__thread.3.smt2 -> UNSAT [4.55s]
[21/3763] atmosphere/slinkedlist__spec_impl_u.1.smt2 -> UNSAT [4.57s]
[22/3763] atmosphere/process_manager__container_tree_spec_impl.6.smt2 -> UNSAT [4.59s]
[23/3763] atmosphere/array_vec.9.smt2 -> UNKNOWN [4.60s]
[24/3763] atmosphere/array_vec.4.smt2 -> UNSAT [4.65s]
[25/3763] atmosphere/define.4.smt2 -> UNKNOWN [4.70s]
[26/3763] atmosphere/array_vec.6.smt2 -> UNKNOWN [4.74s]
[27/3763] atmosphere/define.1.smt2 -> UNSAT [4.79s]
[28/3763] atmosphere/define.9.smt2 -> UNSAT [4.84s]
[29/3763] atmosphere/process_manager__proc_util_t.smt2 -> UNKNOWN [4.86s]
[30/3763] atmosphere/pagetable__entry.5.smt2 -> UNSAT [4.91s]
[31/3763] atmosphere/pagetable__pagemap.5.smt2 -> UNSAT [4.93s]
[32/3763] atmosphere/define.11.smt2 -> UNSAT [4.96s]
[33/3763] atmosphere/slinkedlist__spec_impl_u.2.smt2 -> UNSAT [4.97s]
[34/3763] atmosphere/define.10.smt2 -> UNKNOWN [4.99s]
[35/3763] atmosphere/array_set.2.smt2 -> UNKNOWN [4.99s]
[36/3763] atmosphere/pagetable__entry.3.smt2 -> UNSAT [5.04s]
[37/3763] atmosphere/trap.2.smt2 -> UNSAT [5.06s]
[38/3763] atmosphere/process_manager__container_tree_spec_impl.7.smt2 -> UNSAT [5.07s]
[39/3763] atmosphere/array.2.smt2 -> UNKNOWN [5.11s]
[40/3763] atmosphere/define.8.smt2 -> UNKNOWN [5.12s]
[41/3763] atmosphere/trap.7.smt2 -> UNSAT [5.13s]
[42/3763] atmosphere/array.6.smt2 -> UNKNOWN [5.14s]
[43/3763] atmosphere/trap.1.smt2 -> UNSAT [5.19s]
[44/3763] atmosphere/process_manager__thread.1.smt2 -> UNSAT [5.20s]
[45/3763] atmosphere/trap.3.smt2 -> UNSAT [5.24s]
[46/3763] atmosphere/pagetable__entry.6.smt2 -> UNSAT [5.27s]
[47/3763] atmosphere/array_vec.10.smt2 -> UNKNOWN [5.35s]
[48/3763] atmosphere/trap.5.smt2 -> UNSAT [5.38s]
[49/3763] atmosphere/define.2.smt2 -> UNSAT [5.42s]
[50/3763] atmosphere/pagetable__entry.8.smt2 -> UNSAT [5.48s]
[51/3763] atmosphere/define.6.smt2 -> UNKNOWN [5.53s]
[52/3763] atmosphere/define.7.smt2 -> UNSAT [5.55s]
[53/3763] atmosphere/process_manager__thread.4.smt2 -> UNSAT [5.64s]
[54/3763] atmosphere/array_vec.2.smt2 -> UNKNOWN [5.67s]
[55/3763] atmosphere/array_set.7.smt2 -> UNKNOWN [5.69s]
[56/3763] atmosphere/array.7.smt2 -> UNKNOWN [5.73s]
[57/3763] verussystems/mimalloc-smt-flags.4.smt2 -> UNSAT [1.86s]
[58/3763] verussystems/ironkv-smt-single_delivery_t.12.smt2 -> UNSAT [1.95s]
[59/3763] verussystems/ironkv-smt-keys_t.1.smt2 -> UNSAT [1.77s]
[60/3763] atmosphere/slinkedlist__spec_impl_u.3.smt2 -> UNSAT [5.84s]
[61/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.1.smt2 -> UNKNOWN [1.90s]
[62/3763] verussystems/noderep-smt-spec__linearization.13.smt2 -> OTHER [1.80s]
[63/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.21.smt2 -> UNSAT [2.48s]
[64/3763] atmosphere/process_manager__endpoint_util_t.smt2 -> UNKNOWN [5.92s]
[65/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.2.smt2 -> UNKNOWN [1.82s]
[66/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.11.smt2 -> UNSAT [1.96s]
[67/3763] verussystems/noderep-smt-spec__linearization.6.smt2 -> OTHER [1.76s]
[68/3763] atmosphere/array_set.4.smt2 -> UNKNOWN [6.00s]
[69/3763] verussystems/ironkv-smt-delegation_map_v.20.smt2 -> UNKNOWN [2.16s]
[70/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.1.smt2 -> UNSAT [1.61s]
[71/3763] verussystems/ironkv-smt-host_protocol_t.1.smt2 -> UNSAT [1.52s]
[72/3763] atmosphere/array.4.smt2 -> UNKNOWN [6.13s]
[73/3763] atmosphere/slinkedlist__spec_impl_u.6.smt2 -> UNKNOWN [6.15s]
[74/3763] verussystems/mimalloc-smt-flags.14.smt2 -> UNKNOWN [1.52s]
[75/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__inv_v.1.smt2 -> UNSAT [1.50s]
[76/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.24.smt2 -> UNKNOWN [1.64s]
[77/3763] verussystems/ironkv-smt-delegation_map_v.19.smt2 -> UNSAT [1.64s]
[78/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.6.smt2 -> UNSAT [1.38s]
[79/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.4.smt2 -> UNSAT [2.21s]
[80/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__pmemspec_t.2.smt2 -> UNSAT [1.36s]
[81/3763] atmosphere/array_set.3.smt2 -> UNKNOWN [6.30s]
[82/3763] atmosphere/process_manager__container_tree_spec_impl.1.smt2 -> UNSAT [6.33s]
[83/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__pmemmock_t.smt2 -> UNSAT [1.42s]
[84/3763] verussystems/mimalloc-smt-flags.12.smt2 -> UNKNOWN [1.41s]
[85/3763] verussystems/noderep-smt-spec__linearization.5.smt2 -> OTHER [1.39s]
[86/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-util_v.smt2 -> UNKNOWN [1.37s]
[87/3763] verussystems/mimalloc-smt-flags.5.smt2 -> UNSAT [1.37s]
[88/3763] atmosphere/array.3.smt2 -> UNKNOWN [6.52s]
[89/3763] atmosphere/process_manager__container_tree_spec_impl.2.smt2 -> UNKNOWN [6.56s]
[90/3763] verussystems/ironkv-smt-single_delivery_t.11.smt2 -> UNSAT [1.38s]
[91/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.14.smt2 -> UNSAT [1.47s]
[92/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.45.smt2 -> UNSAT [1.83s]
[93/3763] verussystems/noderep-smt-spec__utils.3.smt2 -> UNKNOWN [2.10s]
[94/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__volatile__volatilespec_t.smt2 -> UNSAT [1.29s]
[95/3763] verussystems/ironkv-smt-single_delivery_state_v.4.smt2 -> UNSAT [1.58s]
[96/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.6.smt2 -> UNKNOWN [2.68s]
[97/3763] verussystems/mimalloc-smt-types__BoolAgree.1.smt2 -> UNSAT [1.15s]
[98/3763] verussystems/noderep-smt-root.2.smt2 -> OTHER [1.16s]
[99/3763] verussystems/mimalloc-smt-config.4.smt2 -> UNKNOWN [1.16s]
[100/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.2.smt2 -> UNKNOWN [2.89s]
[101/3763] verussystems/mimalloc-smt-config.6.smt2 -> UNKNOWN [1.12s]
[102/3763] verussystems/ironkv-smt-delegation_map_v.9.smt2 -> UNSAT [1.57s]
[103/3763] verussystems/mimalloc-smt-flags.13.smt2 -> UNKNOWN [1.19s]
[104/3763] verussystems/ironkv-smt-delegation_map_v.38.smt2 -> UNSAT [1.66s]
[105/3763] verussystems/noderep-smt-spec__linearization.7.smt2 -> OTHER [1.23s]
[106/3763] verussystems/ironkv-smt-delegation_map_v.4.smt2 -> UNSAT [1.42s]
[107/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.6.smt2 -> UNKNOWN [1.33s]
[108/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.10.smt2 -> UNKNOWN [1.29s]
[109/3763] atmosphere/array_set.1.smt2 -> UNKNOWN [7.45s]
[110/3763] verussystems/noderep-smt-spec__unbounded_log.12.smt2 -> UNKNOWN [1.77s]
[111/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.6.smt2 -> UNKNOWN [2.82s]
[112/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.23.smt2 -> UNKNOWN [1.42s]
[113/3763] atmosphere/array.1.smt2 -> UNKNOWN [7.60s]
[114/3763] verussystems/ironkv-smt-args_t.1.smt2 -> UNKNOWN [1.36s]
[115/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.2.smt2 -> UNSAT [2.40s]
[116/3763] verussystems/noderep-smt-spec__unbounded_log.3.smt2 -> UNKNOWN [1.40s]
[117/3763] verussystems/noderep-smt-exec__rwlock__impl_%4__new.1.smt2 -> UNKNOWN [2.55s]
[118/3763] verussystems/noderep-smt-spec__linearization.14.smt2 -> OTHER [1.42s]
[119/3763] verussystems/noderep-smt-exec__utils.4.smt2 -> UNKNOWN [2.31s]
[120/3763] verussystems/ironkv-smt-marshal_v.27.smt2 -> UNKNOWN [1.48s]
[121/3763] verussystems/ironkv-smt-keys_t.8.smt2 -> UNSAT [1.33s]
[122/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__inv_v.2.smt2 -> UNKNOWN [1.98s]
[123/3763] verussystems/noderep-smt-spec__linearization.12.smt2 -> OTHER [1.36s]
[124/3763] verussystems/ironkv-smt-single_delivery_t.9.smt2 -> UNSAT [1.35s]
[125/3763] verussystems/ironkv-smt-marshal_v.16.smt2 -> UNKNOWN [1.49s]
[126/3763] verussystems/ironkv-smt-marshal_v.49.smt2 -> UNKNOWN [1.54s]
[127/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.13.smt2 -> UNSAT [1.40s]
[128/3763] verussystems/ironkv-smt-cmessage_v.9.smt2 -> UNKNOWN [2.42s]
[129/3763] verussystems/ironkv-smt-delegation_map_v.3.smt2 -> UNKNOWN [3.32s]
[130/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.42.smt2 -> UNSAT [1.64s]
[131/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.9.smt2 -> UNSAT [2.43s]
[132/3763] verussystems/ironkv-smt-marshal_v.48.smt2 -> UNKNOWN [1.72s]
[133/3763] verussystems/ironkv-smt-marshal_v.54.smt2 -> UNKNOWN [1.52s]
[134/3763] verussystems/ironkv-smt-keys_t.9.smt2 -> UNSAT [1.28s]
[135/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.16.smt2 -> UNSAT [2.06s]
[136/3763] verussystems/ironkv-smt-keys_t.5.smt2 -> UNSAT [1.25s]
[137/3763] verussystems/ironkv-smt-marshal_v.22.smt2 -> UNKNOWN [1.77s]
[138/3763] atmosphere/pagetable__pagemap.2.smt2 -> UNKNOWN [8.90s]
[139/3763] verussystems/mimalloc-smt-flags.10.smt2 -> UNKNOWN [1.23s]
[140/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.6.smt2 -> UNSAT [1.29s]
[141/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.1.smt2 -> UNKNOWN [1.43s]
[142/3763] verussystems/ironkv-smt-marshal_v.2.smt2 -> UNSAT [1.20s]
[143/3763] verussystems/mimalloc-smt-pigeonhole.6.smt2 -> UNKNOWN [1.47s]
[144/3763] verussystems/noderep-smt-spec__unbounded_log.4.smt2 -> UNKNOWN [2.14s]
[145/3763] verussystems/noderep-smt-exec__rwlock.9.smt2 -> UNSAT [1.22s]
[146/3763] verussystems/ironkv-smt-delegation_map_v.7.smt2 -> UNSAT [1.60s]
[147/3763] verussystems/noderep-smt-constants.1.smt2 -> UNSAT [1.01s]
[148/3763] verussystems/mimalloc-smt-config.3.smt2 -> UNKNOWN [1.00s]
[149/3763] verussystems/ironkv-smt-delegation_map_v.5.smt2 -> UNSAT [1.46s]
[150/3763] verussystems/ironkv-smt-host_protocol_t.22.smt2 -> UNSAT [1.23s]
[151/3763] verussystems/ironkv-smt-single_delivery_t.5.smt2 -> UNKNOWN [0.89s]
[152/3763] atmosphere/pagetable__pagemap.3.smt2 -> UNKNOWN [9.70s]
[153/3763] verussystems/mimalloc-smt-flags.7.smt2 -> UNKNOWN [0.75s]
[154/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.18.smt2 -> UNSAT [0.75s]
[155/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.8.smt2 -> UNKNOWN [3.98s]
[156/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.5.smt2 -> UNSAT [0.60s]
[157/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.16.smt2 -> UNSAT [0.93s]
[158/3763] verussystems/ironkv-smt-single_delivery_t.4.smt2 -> UNSAT [0.58s]
[159/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.2.smt2 -> UNSAT [0.43s]
[160/3763] verussystems/ironkv-smt-delegation_map_v.31.smt2 -> UNKNOWN [2.08s]
[161/3763] verussystems/ironkv-smt-delegation_map_v.11.smt2 -> UNSAT [0.83s]
[162/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.3.smt2 -> UNSAT [0.38s]
[163/3763] verussystems/ironkv-smt-host_protocol_t.3.smt2 -> UNSAT [2.33s]
[164/3763] verussystems/ironkv-smt-single_delivery_t.15.smt2 -> UNKNOWN [0.48s]
[165/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.19.smt2 -> UNSAT [1.79s]
[166/3763] verussystems/ironkv-smt-marshal_v.9.smt2 -> UNKNOWN [1.15s]
[167/3763] verussystems/ironkv-smt-cmessage_v.13.smt2 -> UNKNOWN [2.09s]
[168/3763] atmosphere/pagetable__pagemap_util_t.2.smt2 -> UNKNOWN [10.43s]
[169/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.3.smt2 -> UNKNOWN [0.64s]
[170/3763] verussystems/noderep-smt-exec__rwlock.6.smt2 -> UNKNOWN [2.54s]
[171/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.8.smt2 -> UNSAT [0.38s]
[172/3763] verussystems/mimalloc-smt-flags.1.smt2 -> UNSAT [0.23s]
[173/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.19.smt2 -> UNKNOWN [2.45s]
[174/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.1.smt2 -> UNKNOWN [2.79s]
[175/3763] atmosphere/array.5.smt2 -> UNKNOWN [10.79s]
[176/3763] verussystems/noderep-smt-spec__linearization.3.smt2 -> OTHER [0.31s]
[177/3763] verussystems/ironkv-smt-delegation_map_v.48.smt2 -> UNSAT [1.25s]
[178/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.2.smt2 -> UNSAT [0.63s]
[179/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.10.smt2 -> UNSAT [0.34s]
[180/3763] verussystems/ironkv-smt-single_delivery_t.10.smt2 -> UNSAT [0.26s]
[181/3763] verussystems/ironkv-smt-marshal_v.26.smt2 -> UNSAT [0.34s]
