Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
Processing 3763 files in '/local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11'
Using 150 parallel processes
------------------------------------------------------------
[1/3763] atmosphere/trap.1.smt2 -> UNSAT [2.51s]
[2/3763] atmosphere/pagetable__entry.1.smt2 -> UNSAT [3.38s]
[3/3763] atmosphere/trap.4.smt2 -> UNSAT [4.73s]
[4/3763] atmosphere/process_manager__container_tree_spec_impl.8.smt2 -> UNSAT [5.52s]
[5/3763] atmosphere/define.10.smt2 -> UNKNOWN [5.59s]
[6/3763] atmosphere/trap.2.smt2 -> UNSAT [5.60s]
[7/3763] atmosphere/array_vec.4.smt2 -> UNSAT [5.61s]
[8/3763] atmosphere/pagetable__entry.7.smt2 -> UNSAT [5.67s]
[9/3763] atmosphere/trap.6.smt2 -> UNSAT [5.77s]
[10/3763] atmosphere/array_vec.9.smt2 -> UNKNOWN [5.79s]
[11/3763] atmosphere/process_manager__thread.3.smt2 -> UNSAT [5.82s]
[12/3763] atmosphere/define.5.smt2 -> UNSAT [5.95s]
[13/3763] atmosphere/array_vec.10.smt2 -> UNKNOWN [5.96s]
[14/3763] atmosphere/define.6.smt2 -> UNKNOWN [5.99s]
[15/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__inv_v.1.smt2 -> UNSAT [6.08s]
[16/3763] atmosphere/trap.8.smt2 -> UNSAT [6.15s]
[17/3763] atmosphere/process_manager__thread.1.smt2 -> UNSAT [6.25s]
[18/3763] atmosphere/process_manager__thread.4.smt2 -> UNSAT [6.26s]
[19/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.4.smt2 -> UNSAT [6.34s]
[20/3763] atmosphere/define.3.smt2 -> UNSAT [6.43s]
[21/3763] atmosphere/process_manager__container_tree_spec_impl.7.smt2 -> UNSAT [6.45s]
[22/3763] atmosphere/pagetable__entry.4.smt2 -> UNSAT [6.45s]
[23/3763] atmosphere/trap.5.smt2 -> UNSAT [6.45s]
[24/3763] atmosphere/define.4.smt2 -> UNKNOWN [6.52s]
[25/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.45.smt2 -> UNSAT [6.52s]
[26/3763] atmosphere/array_set.6.smt2 -> UNKNOWN [6.57s]
[27/3763] atmosphere/process_manager__container_tree_spec_impl.1.smt2 -> UNKNOWN [6.57s]
[28/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.11.smt2 -> UNSAT [6.60s]
[29/3763] atmosphere/define.8.smt2 -> UNKNOWN [6.62s]
