Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
Processing 3763 files in '/local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11'
Using 150 parallel processes
------------------------------------------------------------
[1/3763] atmosphere/trap.1.smt2 -> UNSAT [2.88s]
[2/3763] atmosphere/define.3.smt2 -> UNSAT [3.31s]
[3/3763] atmosphere/process_manager__container_tree_spec_impl.8.smt2 -> UNSAT [3.34s]
[4/3763] atmosphere/array_set.6.smt2 -> UNKNOWN [4.57s]
[5/3763] atmosphere/define.5.smt2 -> UNSAT [5.47s]
[6/3763] atmosphere/trap.4.smt2 -> UNSAT [5.51s]
[7/3763] atmosphere/define.7.smt2 -> UNSAT [5.54s]
[8/3763] atmosphere/define.8.smt2 -> UNKNOWN [5.61s]
[9/3763] atmosphere/define.6.smt2 -> UNKNOWN [5.78s]
[10/3763] atmosphere/process_manager__container_tree_spec_impl.7.smt2 -> UNSAT [5.79s]
[11/3763] atmosphere/array_vec.5.smt2 -> UNKNOWN [5.82s]
[12/3763] atmosphere/process_manager__thread.1.smt2 -> UNSAT [5.85s]
[13/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.11.smt2 -> UNSAT [5.93s]
[14/3763] atmosphere/array.7.smt2 -> UNKNOWN [5.97s]
[15/3763] atmosphere/array_set.5.smt2 -> UNSAT [5.97s]
[16/3763] atmosphere/array_vec.4.smt2 -> UNSAT [6.04s]
[17/3763] verussystems/mimalloc-smt-flags.5.smt2 -> UNSAT [6.03s]
[18/3763] atmosphere/define.4.smt2 -> UNKNOWN [6.07s]
[19/3763] atmosphere/array_vec.8.smt2 -> UNKNOWN [6.13s]
[20/3763] atmosphere/define.10.smt2 -> UNKNOWN [6.14s]
[21/3763] atmosphere/trap.2.smt2 -> UNSAT [6.20s]
[22/3763] atmosphere/array_vec.2.smt2 -> UNKNOWN [6.27s]
[23/3763] atmosphere/array_vec.1.smt2 -> UNSAT [6.26s]
[24/3763] atmosphere/slinkedlist__spec_impl_u.2.smt2 -> UNSAT [6.34s]
[25/3763] atmosphere/pagetable__entry.6.smt2 -> UNSAT [6.36s]
[26/3763] atmosphere/define.11.smt2 -> UNSAT [6.44s]
[27/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-util_v.smt2 -> UNKNOWN [6.45s]
[28/3763] atmosphere/process_manager__thread.3.smt2 -> UNSAT [6.48s]
[29/3763] verussystems/ironkv-smt-single_delivery_t.11.smt2 -> UNSAT [6.54s]
[30/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.4.smt2 -> UNSAT [6.55s]
